Utah,"(array([ 0.04897103,  0.094473  , -0.00267492]), 0.688549552264371)"
New Jersey,"(array([ 0.13973891,  0.19137121, -0.22735059]), 0.7812839186425355)"
Georgia,"(array([0.02804995, 0.10198324, 0.02489886]), 0.7049166838488213)"
Illinois,"(array([ 0.0629508 ,  0.13365086, -0.06861202]), 0.6878331119990786)"
Delaware,"(array([0.02750891, 0.05884951, 0.05317456]), 0.7947794508956378)"
Nevada,"(array([ 0.08308002,  0.12716168, -0.09290587]), 0.7587800368665053)"
Maine,"(array([ 0.15458312,  0.21478473, -0.26876128]), 0.7189356138444414)"
New Mexico,"(array([0.03467405, 0.06478484, 0.00915558]), 0.6853838863261136)"
Vermont,"(array([ 0.1759059 ,  0.24199839, -0.29239397]), 0.7173597940767691)"
South Dakota,"(array([0.04325582, 0.09401336, 0.0034985 ]), 0.6186662874214082)"
Missouri,"(array([ 0.06739602,  0.13864876, -0.07478   ]), 0.6703041734886029)"
Ohio,"(array([ 0.07770644,  0.14772682, -0.11366567]), 0.7199342421677062)"
Arkansas,"(array([0.01449141, 0.07891151, 0.04621231]), 0.6798209466978544)"
Montana,"(array([ 0.05308649,  0.08465647, -0.01345287]), 0.6568378650294692)"
Rhode Island,"(array([ 0.08794701,  0.14628346, -0.09777435]), 0.7818750830300873)"
Idaho,"(array([ 0.06602516,  0.11658447, -0.04973029]), 0.6644559544542777)"
South Carolina,"(array([-0.03575038,  0.02546363,  0.1769207 ]), 0.7253127148489299)"
West Virginia,"(array([ 0.0469977 ,  0.10294479, -0.02715741]), 0.6645245392889976)"
Texas,"(array([ 0.04323108,  0.07157884, -0.00263842]), 0.658586187267753)"
Alaska,"(array([0.00639691, 0.03755262, 0.11543814]), 0.646251384953777)"
Connecticut,"(array([ 0.11983908,  0.18735599, -0.19821068]), 0.8057189908927289)"
Florida,"(array([ 0.09143654,  0.18045716, -0.1320088 ]), 0.7760241202492633)"
Indiana,"(array([ 0.08184382,  0.14913827, -0.1163579 ]), 0.6994087121599613)"
Nebraska,"(array([0.01210021, 0.05227128, 0.07149444]), 0.6217120598241048)"
Hawaii,"(array([-0.02275575, -0.09503248,  0.26991553]), 0.7605199036100116)"
North Carolina,"(array([0.03143636, 0.10834183, 0.00598456]), 0.7163607271919445)"
Wyoming,"(array([ 0.09086273,  0.15618144, -0.10599555]), 0.6900762994861831)"
District of Columbia,"(array([-0.07401612, -0.10423696,  0.61340157]), 0.9484228412821614)"
Pennsylvania,"(array([ 0.07972459,  0.14827173, -0.11549231]), 0.7325940403007132)"
Washington,"(array([ 0.07715106,  0.13117014, -0.07894811]), 0.7348396987053833)"
North Dakota,"(array([ 0.09186102,  0.1535875 , -0.08317708]), 0.624673705647131)"
Kansas,"(array([ 0.066244  ,  0.11686663, -0.05439158]), 0.6475472592625691)"
Oregon,"(array([ 0.05856188,  0.09677473, -0.02885736]), 0.7340603505129892)"
Oklahoma,"(array([ 0.04062972,  0.10326157, -0.01617662]), 0.6661335081899302)"
Louisiana,"(array([-0.02059798,  0.05261668,  0.1269319 ]), 0.6938976921233247)"
Massachusetts,"(array([0.00966218, 0.03854727, 0.14189312]), 0.7492132527249318)"
Mississippi,"(array([-0.08478772, -0.01857624,  0.28061502]), 0.6687244081839694)"
Tennessee,"(array([ 0.07046138,  0.13661956, -0.08545554]), 0.7226041902184118)"
Minnesota,"(array([ 0.08014421,  0.13619356, -0.08633009]), 0.6495016862486654)"
Virginia,"(array([ 0.07200108,  0.14436204, -0.05873192]), 0.687844832071816)"
Wisconsin,"(array([ 0.07752748,  0.15003473, -0.10853773]), 0.7152365787277901)"
Arizona,"(array([ 0.08206128,  0.11698081, -0.10687308]), 0.7297372756834433)"
New York,"(array([ 0.16487622,  0.23778145, -0.301912  ]), 0.771771137330667)"
Kentucky,"(array([ 0.06061999,  0.12338705, -0.05929287]), 0.6840845085866913)"
Iowa,"(array([ 0.06586177,  0.13408561, -0.060889  ]), 0.6203216590678513)"
California,"(array([ 0.10098941,  0.1205576 , -0.12073691]), 0.753969054743669)"
Maryland,"(array([ 0.11155507,  0.19122447, -0.16756138]), 0.75088458866595)"
Michigan,"(array([ 0.09190501,  0.14810917, -0.13012565]), 0.7087643748802535)"
Colorado,"(array([0.05341819, 0.09119316, 0.00103349]), 0.6794313494398383)"
New Hampshire,"(array([ 0.08323869,  0.12207206, -0.08262921]), 0.7477265107598201)"
Alabama,"(array([-0.03918318,  0.01981893,  0.17540986]), 0.6784755265939568)"
